index,name,shape
0,new_shape__1590,[5]
1,new_shape__1589,[5]
2,new_shape__1588,[5]
3,new_shape__1587,[5]
4,new_shape__1586,[5]
5,new_shape__1585,[5]
6,new_shape__1013,[4]
7,new_shape__1010,[4]
8,new_shape__1008,[4]
9,einsum124219583030736_ba_batch_axes__1283,[2]
10,einsum124219582908752_ba_left_set__1510,[1]
11,einsum124219582908752_ba_final_axes__1513,[1]
12,einsum124218983837520_id_axes__1281,[1]
13,einsum124218981442064_ba__1__1213,[1]
14,einsum124218844259344_ba_ones__1436,[1]
15,contextual_residual_unet_1/up_sampling2d_1_2/Repeat_1/concat/values_1__9,[1]
16,contextual_residual_unet_1/skip_proj_2_1/convolution/Cast:0,"[32, 64, 1, 1]"
17,contextual_residual_unet_1/skip_proj_2_1/Squeeze:0,[32]
18,contextual_residual_unet_1/skip_proj_1_1/convolution/Cast:0,"[64, 96, 1, 1]"
19,contextual_residual_unet_1/skip_proj_1_1/Squeeze:0,[64]
20,contextual_residual_unet_1/skip_proj_0_1/convolution/Cast:0,"[96, 128, 1, 1]"
21,contextual_residual_unet_1/skip_proj_0_1/Squeeze:0,[96]
22,contextual_residual_unet_1/reshape_8_1/Reshape_shape__1125,[4]
23,contextual_residual_unet_1/reshape_7_1/Reshape_shape__1129,[3]
24,contextual_residual_unet_1/reshape_5_1/Reshape_shape__1130,[4]
25,contextual_residual_unet_1/reshape_4_1/Reshape_shape__1127,[3]
26,contextual_residual_unet_1/reshape_2_2/Reshape_shape__1128,[4]
27,contextual_residual_unet_1/reshape_1_1/Reshape_shape__1126,[3]
28,contextual_residual_unet_1/group_normalization_9_1/Cast_2:0,"[1, 1, 1, 8, 12]"
29,contextual_residual_unet_1/group_normalization_9_1/Cast_1:0,"[1, 1, 1, 8, 12]"
30,contextual_residual_unet_1/group_normalization_8_1/Cast_2:0,"[1, 1, 1, 8, 16]"
31,contextual_residual_unet_1/group_normalization_8_1/Cast_1:0,"[1, 1, 1, 8, 16]"
32,contextual_residual_unet_1/group_normalization_7_1/Cast_2:0,"[1, 1, 1, 8, 16]"
33,contextual_residual_unet_1/group_normalization_7_1/Cast_1:0,"[1, 1, 1, 8, 16]"
34,contextual_residual_unet_1/group_normalization_6_1/Cast_2:0,"[1, 1, 1, 8, 16]"
35,contextual_residual_unet_1/group_normalization_6_1/Cast_1:0,"[1, 1, 1, 8, 16]"
36,contextual_residual_unet_1/group_normalization_5_1/Cast_2:0,"[1, 1, 1, 8, 16]"
37,contextual_residual_unet_1/group_normalization_5_1/Cast_1:0,"[1, 1, 1, 8, 16]"
38,contextual_residual_unet_1/group_normalization_4_1/Cast_2:0,"[1, 1, 1, 8, 12]"
39,contextual_residual_unet_1/group_normalization_4_1/Cast_1:0,"[1, 1, 1, 8, 12]"
40,contextual_residual_unet_1/group_normalization_3_1/Cast_2:0,"[1, 1, 1, 8, 12]"
41,contextual_residual_unet_1/group_normalization_3_1/Cast_1:0,"[1, 1, 1, 8, 12]"
42,contextual_residual_unet_1/group_normalization_2_1/add/y:0,[]
43,contextual_residual_unet_1/group_normalization_2_1/Cast_2:0,"[1, 1, 1, 8, 8]"
44,contextual_residual_unet_1/group_normalization_2_1/Cast_1:0,"[1, 1, 1, 8, 8]"
45,contextual_residual_unet_1/group_normalization_1_2/Cast_2:0,"[1, 1, 1, 8, 8]"
46,contextual_residual_unet_1/group_normalization_1_2/Cast_1:0,"[1, 1, 1, 8, 8]"
47,contextual_residual_unet_1/group_normalization_14_1/Cast_2:0,"[1, 1, 1, 8, 4]"
48,contextual_residual_unet_1/group_normalization_14_1/Cast_1:0,"[1, 1, 1, 8, 4]"
49,contextual_residual_unet_1/group_normalization_13_1/Cast_2:0,"[1, 1, 1, 8, 4]"
50,contextual_residual_unet_1/group_normalization_13_1/Cast_1:0,"[1, 1, 1, 8, 4]"
51,contextual_residual_unet_1/group_normalization_12_1/Cast_2:0,"[1, 1, 1, 8, 8]"
52,contextual_residual_unet_1/group_normalization_12_1/Cast_1:0,"[1, 1, 1, 8, 8]"
53,contextual_residual_unet_1/group_normalization_11_1/Cast_2:0,"[1, 1, 1, 8, 8]"
54,contextual_residual_unet_1/group_normalization_11_1/Cast_1:0,"[1, 1, 1, 8, 8]"
55,contextual_residual_unet_1/group_normalization_10_1/Cast_2:0,"[1, 1, 1, 8, 12]"
56,contextual_residual_unet_1/group_normalization_10_1/Cast_1:0,"[1, 1, 1, 8, 12]"
57,contextual_residual_unet_1/group_normalization_1/Cast_2:0,"[1, 1, 1, 8, 4]"
58,contextual_residual_unet_1/group_normalization_1/Cast_1:0,"[1, 1, 1, 8, 4]"
59,contextual_residual_unet_1/decoder_q_proj_2_1/convolution/Cast:0,"[32, 64, 1, 1]"
60,contextual_residual_unet_1/decoder_q_proj_1_1/convolution/Cast:0,"[64, 96, 1, 1]"
61,contextual_residual_unet_1/decoder_q_proj_1_1/Squeeze:0,[64]
62,contextual_residual_unet_1/decoder_q_proj_0_1/convolution/Cast:0,"[96, 128, 1, 1]"
63,contextual_residual_unet_1/decoder_mha_2_1/value_1/Reshape:0,"[32, 128]"
